ID,Year,Rank,Title,Artist,Source
199703,1997,3,I'll Be Missing You,Puff Daddy and Faith Evans featuring 112,https://genius.com/Diddy-ill-be-missing-you-lyrics
199704,1997,4,Un-Break My Heart,Toni Braxton,https://genius.com/Toni-braxton-un-break-my-heart-lyrics
199705,1997,5,Can't Nobody Hold Me Down,Puff Daddy featuring Mase,https://genius.com/Diddy-cant-nobody-hold-me-down-lyrics
199706,1997,6,I Believe I Can Fly,R. Kelly,https://genius.com/R-kelly-i-believe-i-can-fly-lyrics
199707,1997,7,Don't Let Go (Love),En Vogue,https://genius.com/En-vogue-dont-let-go-love-lyrics
199708,1997,8,Return of the Mack,Mark Morrison,https://genius.com/Mark-morrison-return-of-the-mack-lyrics
199709,1997,9,How Do I Live,LeAnn Rimes,https://genius.com/Leann-rimes-how-do-i-live-lyrics
199710,1997,10,Wannabe,Spice Girls,https://genius.com/Spice-girls-wannabe-lyrics
199601,1996,1,One Sweet Day,Mariah Carey and Boyz II Men,https://genius.com/Mariah-carey-one-sweet-day-lyrics
199602,1996,2,Because You Loved Me,Celine Dion,https://genius.com/Celine-dion-because-you-loved-me-lyrics
199603,1996,3,Nobody Knows,The Tony Rich Project,https://genius.com/The-tony-rich-project-nobody-knows-lyrics
199604,1996,4,Always Be My Baby,Mariah Carey,https://genius.com/Mariah-carey-always-be-my-baby-lyrics
199605,1996,5,Give Me One Reason,Tracy Chapman,https://genius.com/Tracy-chapman-give-me-one-reason-lyrics
199606,1996,6,Tha Crossroads,Bone Thugs-n-Harmony,https://genius.com/Bone-thugs-n-harmony-tha-crossroads-dj-u-neeks-mo-thug-remix-lyrics
199607,1996,7,I Love You Always Forever,Donna Lewis,https://genius.com/Donna-lewis-i-love-you-always-forever-lyrics
199608,1996,8,You're Makin' Me High / Let It Flow,Toni Braxton,https://genius.com/Toni-braxton-youre-makin-me-high-lyrics
199609,1996,9,Twisted,Keith Sweat,https://genius.com/Keith-sweat-twisted-lyrics
199610,1996,10,C'mon N' Ride It (The Train),Quad City DJ's,https://genius.com/Quad-city-djs-cmon-n-ride-it-the-train-lyrics
199501,1995,1,Gangsta's Paradise,Coolio featuring L.V.,https://genius.com/Coolio-gangstas-paradise-lyrics
199502,1995,2,Waterfalls,TLC,https://genius.com/Tlc-waterfalls-lyrics
199503,1995,3,Creep,TLC,https://genius.com/Tlc-creep-lyrics
199504,1995,4,Kiss from a Rose,Seal,https://genius.com/Seal-kiss-from-a-rose-lyrics
199505,1995,5,On Bended Knee,Boyz II Men,https://genius.com/Boyz-ii-men-on-bended-knee-lyrics
199506,1995,6,Another Night,Real McCoy,https://genius.com/Real-mccoy-another-night-lyrics
199507,1995,7,Fantasy,Mariah Carey,https://genius.com/Mariah-carey-fantasy-lyrics
199508,1995,8,Take a Bow,Madonna,https://genius.com/Madonna-take-a-bow-lyrics
199509,1995,9,Don't Take It Personal (Just One of Dem Days),Monica,https://genius.com/Monica-dont-take-it-personal-just-one-of-dem-days-lyrics
199510,1995,10,This Is How We Do It,Montell Jordan,https://genius.com/Montell-jordan-this-is-how-we-do-it-lyrics
199401,1994,1,The Sign,Ace of Base,https://genius.com/Ace-of-base-the-sign-lyrics
199402,1994,2,I Swear,All-4-One,https://genius.com/All-4-one-i-swear-lyrics
199403,1994,3,I'll Make Love to You,Boyz II Men,https://genius.com/Boyz-ii-men-ill-make-love-to-you-lyrics
199404,1994,4,The Power of Love,Celine Dion,https://genius.com/Celine-dion-the-power-of-love-lyrics
199405,1994,5,Hero,Mariah Carey,https://genius.com/Mariah-carey-hero-lyrics
199406,1994,6,Stay (I Missed You),Lisa Loeb and Nine Stories,https://genius.com/Lisa-loeb-and-nine-stories-stay-i-missed-you-lyrics
199407,1994,7,Breathe Again,Toni Braxton,https://genius.com/Toni-braxton-breathe-again-lyrics
199408,1994,8,All for Love,"Bryan Adams, Rod Stewart and Sting",https://genius.com/Bryan-adams-rod-stewart-and-sting-all-for-love-lyrics
199409,1994,9,All That She Wants,Ace of Base,https://genius.com/Ace-of-base-all-that-she-wants-lyrics
199410,1994,10,Don't Turn Around,Ace of Base,https://genius.com/Ace-of-base-dont-turn-around-lyrics
199301,1993,1,I Will Always Love You,Whitney Houston,https://genius.com/Whitney-houston-i-will-always-love-you-lyrics
199302,1993,2,Whoomp! (There It Is),Tag Team,https://genius.com/Tag-team-whoomp-there-it-is-lyrics
199303,1993,3,Can't Help Falling in Love,UB40,https://genius.com/Ub40-i-cant-help-falling-in-love-with-you-lyrics
199304,1993,4,That's the Way Love Goes,Janet Jackson,https://genius.com/Janet-jackson-thats-the-way-love-goes-lyrics
199305,1993,5,Freak Me,Silk,https://genius.com/Silk-freak-me-lyrics
199306,1993,6,Weak,SWV,https://genius.com/Swv-weak-lyrics
199307,1993,7,If I Ever Fall in Love,Shai,https://genius.com/Shai-if-i-ever-fall-in-love-original-acapella-version-lyrics
199308,1993,8,Dreamlover,Mariah Carey,https://genius.com/Mariah-carey-dreamlover-lyrics
199309,1993,9,Rump Shaker,Wreckx-n-Effect,https://genius.com/Wreckx-n-effect-rump-shaker-lyrics
199310,1993,10,Nuthin' but a 'G' Thang,Dr. Dre,https://genius.com/Dr-dre-nuthin-but-a-g-thang-lyrics
199201,1992,1,End of the Road,Boyz II Men,https://genius.com/Boyz-ii-men-end-of-the-road-lyrics
199202,1992,2,Baby Got Back,Sir Mix-a-Lot,https://genius.com/Sir-mix-a-lot-baby-got-back-lyrics
199203,1992,3,Jump,Kris Kross,https://genius.com/Kris-kross-jump-lyrics
199204,1992,4,Save the Best for Last,Vanessa Williams,https://genius.com/Vanessa-williams-save-the-best-for-last-lyrics
199205,1992,5,Baby-Baby-Baby,TLC,https://genius.com/Tlc-baby-baby-baby-lyrics
199206,1992,6,Tears in Heaven,Eric Clapton,https://genius.com/Eric-clapton-tears-in-heaven-lyrics
199207,1992,7,My Lovin' (You're Never Gonna Get It),En Vogue,https://genius.com/En-vogue-my-lovin-youre-never-gonna-get-it-lyrics
199208,1992,8,Under the Bridge,Red Hot Chili Peppers,https://genius.com/Red-hot-chili-peppers-under-the-bridge-lyrics
199209,1992,9,All 4 Love,Color Me Badd,https://genius.com/Color-me-badd-all-4-love-lyrics
199210,1992,10,Just Another Day,Jon Secada,https://genius.com/Jon-secada-just-another-day-lyrics
199101,1991,1,(Everything I Do) I Do It for You,Bryan Adams,https://genius.com/Bryan-adams-everything-i-do-i-do-it-for-you-lyrics
199102,1991,2,I Wanna Sex You Up,Color Me Badd,https://genius.com/Color-me-badd-i-wanna-sex-you-up-lyrics
199103,1991,3,Gonna Make You Sweat (Everybody Dance Now),C+C Music Factory,https://genius.com/C-c-music-factory-gonna-make-you-sweat-everybody-dance-now-lyrics
199104,1991,4,Rush Rush,Paula Abdul,https://genius.com/Paula-abdul-rush-rush-lyrics
199105,1991,5,One More Try,Timmy T,https://genius.com/Timmy-t-one-more-try-lyrics
199106,1991,6,Unbelievable,EMF,https://genius.com/Emf-unbelievable-lyrics
199107,1991,7,More Than Words,Extreme,https://genius.com/Extreme-more-than-words-lyrics
199108,1991,8,I Like the Way (The Kissing Game),Hi-Five,https://genius.com/Hi-five-i-like-the-way-the-kissing-game-lyrics
199109,1991,9,The First Time,Surface,https://genius.com/Surface-the-first-time-lyrics
199110,1991,10,Baby Baby,Amy Grant,https://genius.com/Amy-grant-baby-baby-lyrics
199001,1990,1,Hold On,Wilson Phillips,https://genius.com/Wilson-phillips-hold-on-lyrics
199002,1990,2,It Must Have Been Love,Roxette,https://genius.com/Roxette-it-must-have-been-love-lyrics
199003,1990,3,Nothing Compares 2 U,Sinéad O'Connor,https://genius.com/Sinead-oconnor-nothing-compares-2-u-lyrics
